交易日期,公司ID,通路名稱,商店通稱,卡機號碼,支付工具,筆數,金額
2026-02-10,1950,希利創新_7-11 愿橋,愿橋,TV1Q01940,現金,47.0,470.0
2026-02-10,1950,希利創新_7-11 愿橋,愿橋,TV1Q04672,現金,44.0,440.0
2026-02-10,1950,希利創新_7-11 愿橋,愿橋,TV1Q04673,現金,11.0,110.0
2026-02-10,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01825,現金,55.0,550.0
2026-02-10,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01887,現金,77.0,770.0
2026-02-10,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01896,現金,45.0,450.0
2026-02-10,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q04664,現金,74.0,740.0
2026-02-10,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01950,現金,31.0,310.0
2026-02-10,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01974,現金,33.0,330.0
2026-02-10,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01976,現金,50.0,500.0
2026-02-10,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01977,現金,7.0,70.0
2026-02-11,1947,希利創新_7-11 冠亨,冠亨,TV1Q05716,現金,28.0,280.0
2026-02-11,1947,希利創新_7-11 冠亨,冠亨,TV1Q05752,現金,7.0,70.0
2026-02-11,1947,希利創新_7-11 冠亨,冠亨,TV1Q05769,現金,33.0,330.0
2026-02-11,1947,希利創新_7-11 冠亨,冠亨,TV1Q05806,現金,7.0,70.0
2026-02-11,1948,希利創新_7-11 科有,科有,TV1Q05751,現金,9.0,90.0
2026-02-11,1948,希利創新_7-11 科有,科有,TV1Q05758,現金,8.0,80.0
2026-02-11,1948,希利創新_7-11 科有,科有,TV1Q05760,現金,9.0,90.0
2026-02-11,1949,希利創新_7-11 十興,十興,TV1Q05794,現金,3.0,30.0
2026-02-11,1950,希利創新_7-11 愿橋,愿橋,TV1Q01931,現金,37.0,370.0
2026-02-11,1950,希利創新_7-11 愿橋,愿橋,TV1Q01940,現金,6.0,60.0
2026-02-11,1950,希利創新_7-11 愿橋,愿橋,TV1Q04672,現金,28.0,280.0
2026-02-11,1950,希利創新_7-11 愿橋,愿橋,TV1Q04673,現金,39.0,390.0
2026-02-11,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01825,現金,55.0,550.0
2026-02-11,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01887,現金,18.0,180.0
2026-02-11,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q01896,現金,36.0,360.0
2026-02-11,1952,希利創新_7-11 高鳳儀,高鳳儀,TV1Q04664,現金,70.0,700.0
2026-02-11,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01950,現金,86.0,860.0
2026-02-11,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01974,現金,8.0,80.0
2026-02-11,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01976,現金,5.0,50.0
2026-02-11,1953,希利創新_7-11 瑞賢,瑞賢,TV1Q01977,現金,58.0,580.0
2026-02-12,1947,希利創新_7-11 冠亨,冠亨,TV1Q05716,現金,43.0,430.0
2026-02-12,1947,希利創新_7-11 冠亨,冠亨,TV1Q05752,現金,46.0,460.0
2026-02-12,1947,希利創新_7-11 冠亨,冠亨,TV1Q05769,現金,47.0,470.0
2026-02-12,1947,希利創新_7-11 冠亨,冠亨,TV1Q05806,現金,50.0,500.0
2026-02-12,1948,希利創新_7-11 科有,科有,TV1Q05751,現金,2.0,20.0
2026-02-12,1948,希利創新_7-11 科有,科有,TV1Q05758,現金,15.0,150.0
2026-02-12,1948,希利創新_7-11 科有,科有,TV1Q05760,現金,2.0,20.0
2026-02-12,1948,希利創新_7-11 科有,科有,TV1Q05791,現金,7.0,70.0
2026-02-12,1949,希利創新_7-11 十興,十興,TV1Q05742,現金,5.0,50.0
2026-02-12,1949,希利創新_7-11 十興,十興,TV1Q05745,現金,5.0,50.0
2026-02-12,1949,希利創新_7-11 十興,十興,TV1Q05747,現金,2.0,20.0
